id,name,club,league,position,overall
225061,Ahmad Al Ruhaili,Al Ettifaq,ROSHN Saudi League,GK,61
73084,Brown Irabor,En Avant Guingamp,Ligue 2 BKT,ST,61
268914,Dario Sits,Parma,Serie A Enilive,ST,61
80511,Mert Durmush,Pisa,Serie A Enilive,RW,60
258589,Ged Garner,Newport County,EFL League Two,ST,60
267922,Jacob Jackson,FC Dallas,MLS,GK,60
264285,Yusuf Karagöz,Alanyaspor,Trendyol Süper Lig,GK,60
208977,Fahad Al Muwallad,Al Shabab,ROSHN Saudi League,LW,59
235500,Abdulmalek Al Shammari,Al Taawoun,ROSHN Saudi League,RM,59
258584,Keres Masangu,,1A Pro League,CDM,59
225089,Riyadh Al Ibrahim,,ROSHN Saudi League,CAM,59
278374,Enes Albak,Samsunspor,Trendyol Süper Lig,LB,59
269429,Hussain Al Nowaiqi,Al Riyadh,ROSHN Saudi League,RB,59
274104,Krisztián Hegyi,West Ham,Premier League,GK,59
277562,Eren Altıntaş,Alanyaspor,Trendyol Süper Lig,CAM,59
260559,Mirza Cihan,Gaziantep,Trendyol Süper Lig,LM,59
72697,Katia Kouyate,,EFL League Two,LM,58
279549,Paulo Riveros,,Libertadores,CAM,58
80062,Jake Tabor,Swindon Town,EFL League Two,ST,58
272957,Meshari Al Nemer,Al Nassr,ROSHN Saudi League,ST,58
75190,Joaquín Plaza,Newell's,LPF,ST,58
271169,Hamza Yiğit Akman,Eyüpspor,Trendyol Süper Lig,CM,57
267928,Matty Carson,Grimsby Town,EFL League Two,LB,57
248837,Oliver Greaves,Newport County,EFL League Two,CAM,57
245737,Omar Al Oudah,Al Khaleej,ROSHN Saudi League,RB,57
268528,Vincent Angelini,Al Riyadh,ROSHN Saudi League,GK,57
277678,Güvenç Usta,Çaykur Rizespor,Trendyol Süper Lig,LW,57
251563,Joe Wright,Barnet,EFL League Two,GK,57
79067,Laurențiu Liș,,SUPERLIGA,LW,57
248203,Firas Al Ghamdi,Al Ahli,ROSHN Saudi League,RM,56
277884,Muhammet Ali Özbaskıcı,Samsunspor,Trendyol Süper Lig,CAM,56
247098,Duncan Idehen,Derry City,SSE Airtricity PD,CB,56
74312,Noah Phillips,Leyton Orient,EFL League One,GK,55
274518,Matthew Scarcella,Sydney FC,A-League,CM,55
277472,Muteb Al Khaldi,Al Fayha,ROSHN Saudi League,LB,55
71866,Martin Alvsaker,,Eliteserien,RM,55
77824,Adam Yahi,FC Annecy,Ligue 2 BKT,ST,55
278129,Harun Toprak,,Trendyol Süper Lig,CB,55
276966,Laurie Shala,Wycombe,EFL League One,GK,54
70616,Mohammed Bakr,Al Taawoun,ROSHN Saudi League,CDM,53
277533,Phoenix Scholtz,MK Dons,EFL League Two,RB,53
278993,George Alston,Swindon Town,EFL League Two,CAM,53
79133,Ahmet Hasan Göcen,Kocaelispor,Trendyol Süper Lig,GK,53
263977,Nawaf Al Rashoudi,,ROSHN Saudi League,CAM,53
264264,Rayan Al Qahtani,,ROSHN Saudi League,RW,52
277743,Adnan Aktaş,Kasımpaşa,Trendyol Süper Lig,LB,52
74513,Alexandru Stoian,FC Dinamo 1948,SUPERLIGA,GK,52
75297,Joe Hatch,Plymouth Argyle,EFL League One,ST,52
75521,Arda Usluoğlu,Alanyaspor,Trendyol Süper Lig,ST,52
