player_id,name,first_name,last_name,short_name,date_of_birth,derived_age,nationality,nationality_raw,nationality_id,height,weight,club,club_id,league,league_id,position,positions,alternative_positions,position_type,preferred_foot,overall,potential,pace,acceleration,sprint_speed,shooting,finishing,shot_power,long_shots,volleys,penalties,positioning,passing,vision,crossing,free_kick_accuracy,short_passing,long_passing,curve,dribbling,agility,balance,reactions,ball_control,composure,defending,interceptions,heading_accuracy,defensive_awareness,standing_tackle,sliding_tackle,physical,jumping,stamina,strength,aggression,weak_foot,skill_moves,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,value,wage,release_clause,contract_until,playstyles,playstyles_plus,gender,gender_id,source,source_player_id,source_url,overall_source,attributes_source,potential_source,data_version,scraped_at
264012,Sophia Wilson,Sophia,Wilson,,2000-08-10,26,USA,United States,95,164,58,Portland Thorns,116302,NWSL,,ST,"ST, LW, CAM","LW, CAM",Attack,Right,88,,92,91,92,87,89,86,86,84,80,88,79,74,73,72,88,75,74,89,85,86,88,91,80,45,43,79,41,42,39,81,92,85,83,68,5,4,12,13,13,13,6,,,,,"Finesse Shot, Low Driven Shot, Technical, Trickster, Quick Step",First Touch+,Women's Football,1,ea-drop-api,264012,https://www.ea.com/games/ea-sports-fc/ratings?playerId=264012,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227323,Guro Reiten,Guro,Reiten,,1994-07-26,32,Norway,Norway,36,167,60,Chelsea,116010,Barclays WSL,,LM,"LM, LW, CAM","LW, CAM",Midfielder,Left,88,,88,87,88,82,83,81,83,61,89,86,85,87,92,80,83,80,80,87,91,90,88,88,88,60,65,50,60,60,57,69,71,91,61,60,3,4,16,16,12,11,16,,,,,"Finesse Shot, Dead Ball, Incisive Pass, Whipped Pass, Quick Step, Relentless",Rapid+,Women's Football,1,ea-drop-api,227323,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227323,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
241846,Ewa Pajor,Ewa,Pajor,,1996-12-03,29,Poland,Poland,37,168,59,FC Barcelona,116325,Liga F Moeve,,ST,"ST, LW, LM","LW, LM",Attack,Right,88,,87,88,87,88,92,87,79,89,89,91,64,72,47,66,75,51,64,88,90,83,84,90,89,22,20,77,18,12,10,71,90,82,82,24,3,3,15,8,12,8,12,,,,,"Precision Header, Low Driven Shot, Gamechanger, Rapid",Finesse Shot+,Women's Football,1,ea-drop-api,241846,https://www.ea.com/games/ea-sports-fc/ratings?playerId=241846,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
245956,Christiane Endler,Christiane,Endler,,1991-07-23,35,Chile,Chile,55,183,73,OL Lyonnes,116033,Arkema PL,,GK,GK,,Defense,Left,88,,88,46,35,82,15,63,17,8,13,10,84,69,15,11,31,35,18,89,39,42,83,22,45,42,16,13,15,11,12,89,60,41,46,21,3,1,88,82,84,89,89,,,,,Cross Claimer,Rush Out+,Women's Football,1,ea-drop-api,245956,https://www.ea.com/games/ea-sports-fc/ratings?playerId=245956,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
226893,Debinha,Débora C.,de Oliveira,Debinha,1991-10-20,34,Brazil,Brazil,54,155,52,KC Current,116309,NWSL,,CAM,"CAM, RW, CM","RW, CM",Midfielder,Right,88,,85,85,85,79,78,80,78,86,73,87,86,90,80,77,87,85,89,91,90,94,77,91,84,46,49,56,49,39,44,75,75,90,70,70,5,5,9,8,10,8,13,,,,,"Acrobatic, Low Driven Shot, Gamechanger, Technical, First Touch, Quick Step",Trickster+,Women's Football,1,ea-drop-api,226893,https://www.ea.com/games/ea-sports-fc/ratings?playerId=226893,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227190,Irene Paredes,Irene,Paredes Hernández,Irene Paredes,1991-07-04,35,Spain,Spain,45,178,67,FC Barcelona,116325,Liga F Moeve,,CB,CB,,Defense,Right,88,,71,69,72,52,51,60,46,60,51,39,67,51,59,40,83,68,69,68,66,70,91,80,80,88,88,85,91,87,86,84,82,72,88,87,3,2,15,12,13,14,16,,,,,"Long Ball Pass, Jockey, Slide Tackle, Aerial Fortress",Bruiser+,Women's Football,1,ea-drop-api,227190,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227190,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
257001,Chloe Kelly,Chloe,Kelly,,1998-01-15,28,England,England,14,168,58,Arsenal,116009,Barclays WSL,,RM,"RM, RW",RW,Midfielder,Right,87,,88,88,88,84,85,92,79,71,80,82,85,83,87,81,86,82,86,84,87,76,83,84,81,43,50,50,44,38,38,69,76,77,75,40,4,4,10,8,14,6,12,,,,,"Dead Ball, Whipped Pass, Inventive, Technical, Trickster, Quick Step",,Women's Football,1,ea-drop-api,257001,https://www.ea.com/games/ea-sports-fc/ratings?playerId=257001,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
231432,Lindsey Heaps,Lindsey,Heaps,,1994-05-26,32,USA,United States,95,175,67,OL Lyonnes,116033,Arkema PL,,CAM,"CAM, CM",CM,Midfielder,Right,87,,76,78,75,84,83,89,86,83,70,87,87,88,79,87,91,90,68,84,79,68,87,87,81,64,71,89,59,62,49,80,92,85,84,63,3,4,7,15,13,9,11,,,,,"Finesse Shot, Power Shot, Dead Ball, Precision Header, Inventive, Aerial Fortress",Incisive Pass+,Women's Football,1,ea-drop-api,231432,https://www.ea.com/games/ea-sports-fc/ratings?playerId=231432,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227246,Lucy Bronze,Lucy,Bronze,,1991-10-28,34,England,England,14,172,70,Chelsea,116010,Barclays WSL,,RB,"RB, RM",RM,Defense,Right,87,,71,70,71,68,55,85,79,66,62,73,82,74,87,72,86,81,82,80,73,70,85,84,87,87,85,82,88,88,85,87,83,82,92,82,3,3,10,14,16,8,15,,,,,"Block, Relentless, Long Throw",Jockey+,Women's Football,1,ea-drop-api,227246,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227246,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
232075,Rose Lavelle,Rose,Lavelle,,1995-05-14,31,USA,United States,95,163,56,Gotham FC,116310,NWSL,,CM,"CM, CAM",CAM,Midfielder,Left,87,,85,84,85,81,85,74,82,68,74,87,84,88,74,69,91,85,72,87,79,85,86,88,79,60,79,44,41,74,52,64,63,86,54,63,4,4,16,8,13,11,10,,,,,"Finesse Shot, Gamechanger, Incisive Pass, Tiki Taka, Technical, First Touch",Pinged Pass+,Women's Football,1,ea-drop-api,232075,https://www.ea.com/games/ea-sports-fc/ratings?playerId=232075,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
233662,Sakina Karchaoui,Sakina,Karchaoui,,1996-01-26,30,France,France,18,160,55,Paris SG,116034,Arkema PL,,CM,"CM, LW, LB, CAM","LW, LB, CAM",Midfielder,Left,87,,89,92,87,76,71,88,81,59,70,85,87,88,86,75,89,87,81,88,91,85,84,88,88,77,82,66,76,80,76,69,76,90,57,72,4,5,9,14,16,14,10,,,,,"Whipped Pass, Inventive, Jockey, Intercept, Technical, Quick Step, Relentless",,Women's Football,1,ea-drop-api,233662,https://www.ea.com/games/ea-sports-fc/ratings?playerId=233662,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
246426,Leah Williamson,Leah,Williamson,,1997-03-29,29,England,England,14,170,57,Arsenal,116009,Barclays WSL,,CB,"CB, CDM",CDM,Defense,Right,87,,74,73,75,48,50,48,46,45,50,31,73,63,60,67,83,88,60,72,73,73,88,85,82,88,86,85,90,89,88,77,86,73,77,81,3,3,13,13,11,9,8,,,,,"Long Ball Pass, Jockey, Bruiser",Anticipate+,Women's Football,1,ea-drop-api,246426,https://www.ea.com/games/ea-sports-fc/ratings?playerId=246426,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
245802,Beth Mead,Beth,Mead,,1995-05-09,31,England,England,14,163,58,Arsenal,116009,Barclays WSL,,RM,"RM, RW",RW,Midfielder,Right,87,,82,83,81,84,84,88,87,73,68,85,84,86,87,88,84,74,81,87,74,84,89,91,82,67,73,68,61,69,68,73,85,81,84,31,4,5,11,15,17,16,10,,,,,"Gamechanger, Whipped Pass, Technical",First Touch+,Women's Football,1,ea-drop-api,245802,https://www.ea.com/games/ea-sports-fc/ratings?playerId=245802,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
232073,Mallory Swanson,Mallory,Swanson,,1998-04-29,28,USA,United States,95,163,54,Chicago Stars FC,116305,NWSL,,LM,"LM, ST, LW","ST, LW",Midfielder,Right,87,,88,87,88,82,85,81,80,70,75,88,81,86,76,76,85,77,73,85,83,88,85,86,78,42,43,68,36,41,39,70,77,87,61,70,5,4,12,11,15,16,17,,,,,"Finesse Shot, Technical, First Touch, Quick Step",,Women's Football,1,ea-drop-api,232073,https://www.ea.com/games/ea-sports-fc/ratings?playerId=232073,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227310,Ada Hegerberg,Ada,Hegerberg,,1995-07-10,31,Norway,Norway,36,176,68,OL Lyonnes,116033,Arkema PL,,ST,ST,,Attack,Right,87,,72,71,73,86,89,82,85,86,84,89,76,76,68,75,82,72,79,85,74,45,87,89,85,39,23,91,41,33,30,79,90,75,85,65,4,4,15,7,12,10,14,,,,,"Technical, First Touch, Enforcer",Precision Header+,Women's Football,1,ea-drop-api,227310,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227310,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
257008,Lauren Hemp,Lauren,Hemp,,2000-08-07,26,England,England,14,164,59,Manchester City,116017,Barclays WSL,,LW,"LW, LM",LM,Attack,Left,87,,91,92,91,77,78,83,70,69,68,83,84,83,92,80,81,79,86,87,90,91,86,87,70,63,69,63,56,69,57,70,78,88,63,62,3,4,7,6,11,12,8,,,,,"Finesse Shot, Whipped Pass, First Touch, Quick Step",Rapid+,Women's Football,1,ea-drop-api,257008,https://www.ea.com/games/ea-sports-fc/ratings?playerId=257008,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
238257,Millie Bright,Millie,Bright,,1993-08-21,33,England,England,14,178,76,Chelsea,116010,Barclays WSL,,CB,CB,,Defense,Right,87,,57,51,61,51,51,63,46,35,59,38,70,57,50,52,86,86,51,62,33,48,84,70,85,87,82,89,91,88,79,88,86,79,93,88,4,2,11,12,12,8,16,,,,,"Anticipate, Aerial Fortress",Bruiser+,Women's Football,1,ea-drop-api,238257,https://www.ea.com/games/ea-sports-fc/ratings?playerId=238257,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
265239,Katie McCabe,Katie,McCabe,,1995-09-21,30,Ireland,Republic of Ireland,25,164,55,Arsenal,116009,Barclays WSL,,LB,"LB, LW, LM","LW, LM",Defense,Left,87,,80,81,79,81,79,90,80,69,74,79,82,68,89,78,87,79,84,83,88,81,80,85,84,83,83,75,90,81,79,82,83,92,73,94,3,4,8,14,13,13,6,,,,,"Whipped Pass, Slide Tackle, Rapid, Long Throw, Bruiser",,Women's Football,1,ea-drop-api,265239,https://www.ea.com/games/ea-sports-fc/ratings?playerId=265239,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227125,Sam Kerr,Sam,Kerr,,1993-09-10,32,Australia,Australia,195,168,66,Chelsea,116010,Barclays WSL,,ST,ST,,Attack,Right,87,,80,80,80,87,91,84,84,91,71,86,74,79,70,68,77,67,76,89,89,80,80,90,91,42,24,93,44,39,30,83,87,87,81,80,4,4,7,12,8,16,13,,,,,"Finesse Shot, Rapid, Quick Step, Enforcer",Acrobatic+,Women's Football,1,ea-drop-api,227125,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227125,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
258310,Ann-Katrin Berger,Ann-Katrin,Berger,,1990-10-09,35,Germany,Germany,21,180,63,Gotham FC,116310,NWSL,,GK,GK,,Defense,Right,86,,86,40,52,84,25,61,29,20,45,9,81,66,27,30,60,58,30,87,38,40,85,41,67,45,25,24,28,24,25,81,69,29,67,40,4,1,86,84,81,81,87,,,,,"Long Ball Pass, Footwork",Cross Claimer+,Women's Football,1,ea-drop-api,258310,https://www.ea.com/games/ea-sports-fc/ratings?playerId=258310,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
237197,Grace Geyoro,Grace,Geyoro,,1997-07-02,29,France,France,18,168,61,London City,132176,Barclays WSL,,CM,"CM, CAM, CDM","CAM, CDM",Midfielder,Right,86,,89,89,89,73,75,74,71,52,74,80,82,83,70,65,89,86,72,83,76,82,87,86,79,82,88,64,80,88,80,80,83,93,77,71,3,3,13,16,16,14,11,,,,,"Incisive Pass, Inventive, Anticipate",Relentless+,Women's Football,1,ea-drop-api,237197,https://www.ea.com/games/ea-sports-fc/ratings?playerId=237197,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
262531,Claudia Pina,Claudia,Pina Medina,Claudia Pina,2001-08-12,25,Spain,Spain,45,160,68,FC Barcelona,116325,Liga F Moeve,,LW,"LW, ST, LM","ST, LM",Attack,Right,86,,79,78,79,86,87,84,91,88,64,86,83,84,84,85,86,75,81,87,83,84,85,88,81,45,37,69,31,55,51,71,71,76,69,69,5,4,6,13,6,13,12,,,,,"Finesse Shot, Dead Ball, Gamechanger, Incisive Pass, Tiki Taka, Technical",Low Driven Shot+,Women's Football,1,ea-drop-api,262531,https://www.ea.com/games/ea-sports-fc/ratings?playerId=262531,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
248822,Klara Bühl,Klara,Bühl,,2000-12-07,25,Germany,Germany,21,173,65,FC Bayern München,115995,GPFBL,,LM,"LM, LW",LW,Midfielder,Right,86,,84,83,84,84,86,83,84,78,71,84,81,81,85,73,83,77,71,84,89,81,84,86,76,34,41,77,34,21,20,74,88,83,78,48,5,4,9,6,13,14,9,,,,,"Finesse Shot, Dead Ball, Low Driven Shot, Incisive Pass, Whipped Pass, Jockey, Press Proven",,Women's Football,1,ea-drop-api,248822,https://www.ea.com/games/ea-sports-fc/ratings?playerId=248822,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
253436,Ona Batlle,Ona,Batlle Pascual,Ona Batlle,1999-06-10,27,Spain,Spain,45,160,49,FC Barcelona,116325,Liga F Moeve,,RB,"RB, LB, RM","LB, RM",Defense,Right,86,,80,82,79,54,62,53,40,46,47,66,79,74,85,40,86,77,77,79,82,85,84,80,82,81,81,59,84,84,83,72,73,91,62,72,4,3,13,8,15,14,5,,,,,"Whipped Pass, Jockey, Rapid, Relentless",,Women's Football,1,ea-drop-api,253436,https://www.ea.com/games/ea-sports-fc/ratings?playerId=253436,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
244302,Lea Schüller,Lea,Schüller,,1997-11-12,28,Germany,Germany,21,173,62,FC Bayern München,115995,GPFBL,,ST,ST,,Attack,Right,86,,87,85,88,83,92,78,72,73,72,91,71,72,66,65,77,61,78,82,86,78,87,86,74,33,31,87,24,26,27,74,91,82,75,55,3,3,16,13,14,11,9,,,,,"Precision Header, Low Driven Shot, Quick Step",,Women's Football,1,ea-drop-api,244302,https://www.ea.com/games/ea-sports-fc/ratings?playerId=244302,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
265898,Melchie Dumornay,Melchie,Dumornay,,2003-08-17,23,Haiti,Haiti,80,160,51,OL Lyonnes,116033,Arkema PL,,ST,"ST, CAM",CAM,Attack,Right,86,,93,92,94,85,89,87,80,74,69,83,78,79,70,75,83,73,86,87,92,85,81,88,84,60,59,77,52,64,53,71,89,73,74,55,4,4,13,9,8,6,8,,,,,"Finesse Shot, Chip Shot, Incisive Pass, Technical, Quick Step",Gamechanger+,Women's Football,1,ea-drop-api,265898,https://www.ea.com/games/ea-sports-fc/ratings?playerId=265898,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
259287,Pernille Harder,Pernille,Harder,,1992-11-15,33,Denmark,Denmark,13,169,60,FC Bayern München,115995,GPFBL,,CAM,"CAM, ST, RM","ST, RM",Midfielder,Right,86,,81,80,82,80,82,79,78,73,78,86,80,85,72,69,84,78,71,88,90,73,81,88,90,27,21,79,21,22,23,78,88,78,81,66,4,4,12,6,8,13,6,,,,,"Power Shot, Precision Header, Gamechanger, Incisive Pass",Technical+,Women's Football,1,ea-drop-api,259287,https://www.ea.com/games/ea-sports-fc/ratings?playerId=259287,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
279799,Temwa Chawinga,Temwa,Chawinga,,1998-09-20,27,Malawi,Malawi,125,168,62,KC Current,116309,NWSL,,LW,"LW, LM, RM","LM, RM",Attack,Left,86,,91,92,90,82,89,76,76,70,68,87,77,78,75,65,84,75,53,83,84,75,87,87,75,46,43,60,34,60,35,83,88,78,91,70,4,4,13,8,12,8,9,,,,,"Low Driven Shot, Rapid, First Touch",,Women's Football,1,ea-drop-api,279799,https://www.ea.com/games/ea-sports-fc/ratings?playerId=279799,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
265674,Selma Bacha,Selma,Bacha,,2000-11-09,25,France,France,18,161,58,OL Lyonnes,116033,Arkema PL,,LB,"LB, LW, LM","LW, LM",Defense,Left,85,,88,92,85,73,65,92,78,49,60,80,85,79,90,81,87,80,88,82,94,90,76,81,84,78,80,58,76,84,82,80,80,91,72,85,3,4,14,14,6,9,14,,,,,"Dead Ball, Inventive, Anticipate, Technical, Quick Step, Relentless",Whipped Pass+,Women's Football,1,ea-drop-api,265674,https://www.ea.com/games/ea-sports-fc/ratings?playerId=265674,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
246641,Chiamaka Nnadozie,Chiamaka,Nnadozie,,2000-12-08,25,Nigeria,Nigeria,133,180,69,Brighton,116013,Barclays WSL,,GK,GK,,Defense,Right,85,,87,63,62,80,11,60,9,7,13,14,80,55,12,13,29,22,14,88,48,42,75,21,57,63,23,12,22,13,10,84,71,36,61,35,3,1,87,80,80,84,88,,,,,"Long Ball Pass, Deflector",Footwork+,Women's Football,1,ea-drop-api,246641,https://www.ea.com/games/ea-sports-fc/ratings?playerId=246641,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
243404,Georgia Stanway,Georgia,Stanway,,1999-01-03,27,England,England,14,164,61,FC Bayern München,115995,GPFBL,,CDM,CDM,,Midfielder,Right,85,,80,83,78,79,79,77,82,68,82,77,80,84,60,71,90,86,69,86,85,85,85,86,69,77,77,43,83,82,80,77,69,84,70,87,3,3,12,8,15,10,8,,,,,"Long Ball Pass, Jockey, Technical, First Touch",Pinged Pass+,Women's Football,1,ea-drop-api,243404,https://www.ea.com/games/ea-sports-fc/ratings?playerId=243404,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
245882,Erin Cuthbert,Erin,Cuthbert,,1998-07-19,28,Scotland,Scotland,42,163,60,Chelsea,116010,Barclays WSL,,CDM,"CDM, CM",CM,Midfielder,Right,85,,79,77,80,80,81,79,86,68,66,83,84,86,79,77,88,86,76,83,62,87,85,86,81,80,83,59,79,86,82,73,73,85,69,70,3,4,12,7,5,7,14,,,,,"Power Shot, Long Ball Pass, Whipped Pass, Anticipate, Press Proven, Relentless",Pinged Pass+,Women's Football,1,ea-drop-api,245882,https://www.ea.com/games/ea-sports-fc/ratings?playerId=245882,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
227095,Manuela Giugliano,Manuela,Giugliano,,1997-08-18,29,Italy,Italy,27,160,51,Roma,116282,Calcio A Femminile,,CM,"CM, CDM, CAM","CDM, CAM",Midfielder,Right,85,,81,80,82,80,81,79,81,70,72,84,84,86,78,82,87,84,80,86,89,90,83,87,76,72,77,47,74,76,70,74,68,88,64,83,4,4,11,12,11,10,11,,,,,"Long Ball Pass, Technical",,Women's Football,1,ea-drop-api,227095,https://www.ea.com/games/ea-sports-fc/ratings?playerId=227095,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
245872,Kim Little,Kim,Little,,1990-06-29,36,Scotland,Scotland,42,162,57,Arsenal,116009,Barclays WSL,,CDM,"CDM, CM",CM,Midfielder,Right,85,,76,79,74,75,70,85,73,82,78,87,85,87,78,65,90,87,77,88,90,88,89,89,84,78,79,57,76,87,77,70,71,89,60,70,4,3,12,5,6,10,6,,,,,"Incisive Pass, Aerial Fortress",Press Proven+,Women's Football,1,ea-drop-api,245872,https://www.ea.com/games/ea-sports-fc/ratings?playerId=245872,ea-drop-api,ea-drop-api,,fc27,2026-08-28T08:51:40.553Z
