league_id,country,team_id,team_name,current_template_players,target_squad_size,missing_players_for_team,extra_template_players,status
esp,Spain,atletico-madrid,Atlético Madrid,25,25,0,0,ready
gre,Greece,atromitos,Atromitos FC,0,25,25,0,needs_real_players
por,Portugal,avs,AVS Futebol SAD,0,25,25,0,needs_real_players
ned,Netherlands,az-alkmaar,AZ Alkmaar,25,25,3,0,needs_real_players
ger,Germany,bayer-leverkusen,Bayer Leverkusen,25,25,3,0,needs_real_players
ger,Germany,bayern-munich,Bayern Munich,25,25,4,0,needs_real_players
bel,Belgium,beerschot,Beerschot VA,0,25,25,0,needs_real_players
isr,Israel,beitar-jerusalem,Beitar Jerusalem,0,25,25,0,needs_real_players
bgr,Bulgaria,beroe-stara-zagora,Beroe Stara Zagora,0,25,25,0,needs_real_players
tur,Turkey,besiktas,Beşiktaş JK,0,25,25,0,needs_real_players
swe,Sweden,hacken,BK Häcken,0,25,25,0,needs_real_players
isr,Israel,bnei-sakhnin,Bnei Sakhnin,0,25,25,0,needs_real_players
por,Portugal,boavista,Boavista FC,0,25,25,0,needs_real_players
tur,Turkey,bodrum-fk,Bodrum FK,0,25,25,0,needs_real_players
nor,Norway,bodo-glimt,Bodø/Glimt,0,25,25,0,needs_real_players
irl,Ireland,bohemians,Bohemian FC,25,25,0,0,ready
cze,Czechia,bohemians-1905,Bohemians 1905,0,25,25,0,needs_real_players
ita,Italy,bologna,Bologna FC,25,25,2,0,needs_real_players
ger,Germany,borussia-dortmund,Borussia Dortmund,25,25,3,0,needs_real_players
ger,Germany,borussia-monchengladbach,Borussia Mönchengladbach,25,25,3,0,needs_real_players
bgr,Bulgaria,botev-plovdiv,Botev Plovdiv,0,25,25,0,needs_real_players
isl,Iceland,breidablik,Breiðablik,0,25,25,0,needs_real_players
eng,England,brentford,Brentford,25,25,0,0,ready
eng,England,brighton,Brighton & Hove Albion,25,25,0,0,ready
den,Denmark,brondby,Brøndby IF,0,25,25,0,needs_real_players
che,Switzerland,young-boys,BSC Young Boys,0,25,25,0,needs_real_players
esp,Spain,osasuna,CA Osasuna,25,25,0,0,ready
ita,Italy,cagliari,Cagliari,25,25,4,0,needs_real_players
por,Portugal,casa-pia,Casa Pia AC,0,25,25,0,needs_real_players
esp,Spain,leganes,CD Leganés,25,25,0,0,ready
por,Portugal,nacional,CD Nacional,0,25,25,0,needs_real_players
por,Portugal,santa-clara,CD Santa Clara,0,25,25,0,needs_real_players
esp,Spain,celta-vigo,Celta Vigo,25,25,0,0,ready
sco,Scotland,celtic,Celtic FC,0,25,25,0,needs_real_players
bel,Belgium,cercle-brugge,Cercle Brugge KSV,0,25,25,0,needs_real_players
por,Portugal,estrela-amadora,CF Estrela da Amadora,0,25,25,0,needs_real_players
rou,Romania,cfr-cluj,CFR Cluj,0,25,25,0,needs_real_players
eng,England,chelsea,Chelsea,25,25,0,0,ready
bgr,Bulgaria,cherno-more-varna,Cherno More Varna,0,25,25,0,needs_real_players
ukr,Ukraine,chornomorets-odesa,Chornomorets Odesa,0,25,25,0,needs_real_players
bel,Belgium,club-brugge,Club Brugge KV,0,25,25,0,needs_real_players
ita,Italy,como,Como 1907,25,25,4,0,needs_real_players
eng,England,crystal-palace,Crystal Palace,25,25,0,0,ready
bgr,Bulgaria,cska-1948,CSKA 1948 Sofia,0,25,25,0,needs_real_players
bgr,Bulgaria,cska-sofia,CSKA Sofia,0,25,25,0,needs_real_players
svk,Slovakia,dac-dunajska-streda,DAC Dunajská Streda,0,25,25,0,needs_real_players
hun,Hungary,debrecen,Debreceni VSC,0,25,25,0,needs_real_players
esp,Spain,deportivo-alaves,Deportivo Alavés,25,25,0,0,ready
irl,Ireland,derry-city,Derry City,25,25,0,0,ready
rou,Romania,dinamo-bucuresti,Dinamo București,0,25,25,0,needs_real_players
hun,Hungary,diosgyori,Diósgyőri VTK,0,25,25,0,needs_real_players
swe,Sweden,djurgarden,Djurgårdens IF,0,25,25,0,needs_real_players
cyp,Cyprus,doxa-katokopias,Doxa Katokopias,0,25,25,0,needs_real_players
irl,Ireland,drogheda-united,Drogheda United,25,25,0,0,ready
irl,Ireland,dundalk,Dundalk FC,25,25,0,0,ready
sco,Scotland,dundee,Dundee FC,0,25,25,0,needs_real_players
sco,Scotland,dundee-united,Dundee United,0,25,25,0,needs_real_players
ukr,Ukraine,dynamo-kyiv,Dynamo Kyiv,0,25,25,0,needs_real_players
ger,Germany,eintracht-frankfurt,Eintracht Frankfurt,25,25,3,0,needs_real_players
ita,Italy,empoli,Empoli FC,25,25,2,0,needs_real_players
cyp,Cyprus,enosis-neon-paralimni,Enosis Neon Paralimni,0,25,25,0,needs_real_players
por,Portugal,estoril,Estoril Praia,0,25,25,0,needs_real_players
cyp,Cyprus,ethnikos-achna,Ethnikos Achna,0,25,25,0,needs_real_players
eng,England,everton,Everton,25,25,0,0,ready
tur,Turkey,eyupspor,Eyüpspor,0,25,25,0,needs_real_players
rou,Romania,farul-constanta,Farul Constanța,0,25,25,0,needs_real_players
por,Portugal,arouca,FC Arouca,0,25,25,0,needs_real_players
isr,Israel,ashdod,FC Ashdod,0,25,25,0,needs_real_players
ger,Germany,augsburg,FC Augsburg,25,25,5,0,needs_real_players
cze,Czechia,banik-ostrava,FC Baník Ostrava,0,25,25,0,needs_real_players
esp,Spain,barcelona,FC Barcelona,25,25,0,0,ready
che,Switzerland,fc-basel,FC Basel,0,25,25,0,needs_real_players
aut,Austria,blau-weiss-linz,FC Blau-Weiß Linz,0,25,25,0,needs_real_players
rou,Romania,fc-botosani,FC Botoșani,0,25,25,0,needs_real_players
den,Denmark,fc-copenhagen,FC Copenhagen,0,25,25,0,needs_real_players
por,Portugal,famalicao,FC Famalicão,0,25,25,0,needs_real_players
ned,Netherlands,fc-groningen,FC Groningen,25,25,3,0,needs_real_players
fin,Finland,haka,FC Haka,0,25,25,0,needs_real_players
rou,Romania,hermannstadt,FC Hermannstadt,0,25,25,0,needs_real_players
fin,Finland,fc-honka,FC Honka,0,25,25,0,needs_real_players
cze,Czechia,hradec-kralove,FC Hradec Králové,0,25,25,0,needs_real_players
fin,Finland,inter-turku,FC Inter Turku,0,25,25,0,needs_real_players
svk,Slovakia,kosice,FC Košice,0,25,25,0,needs_real_players
bgr,Bulgaria,krumovgrad,FC Krumovgrad,0,25,25,0,needs_real_players
fin,Finland,fc-lahti,FC Lahti,0,25,25,0,needs_real_players
che,Switzerland,lausanne-sport,FC Lausanne-Sport,0,25,25,0,needs_real_players
che,Switzerland,fc-lugano,FC Lugano,0,25,25,0,needs_real_players
che,Switzerland,fc-luzern,FC Luzern,0,25,25,0,needs_real_players
den,Denmark,fc-midtjylland,FC Midtjylland,0,25,25,0,needs_real_players
fra,France,nantes,FC Nantes,23,25,5,0,needs_real_players
den,Denmark,fc-nordsjaelland,FC Nordsjælland,0,25,25,0,needs_real_players
ukr,Ukraine,oleksandriya,FC Oleksandriya,0,25,25,0,needs_real_players
por,Portugal,porto,FC Porto,0,25,25,0,needs_real_players
aut,Austria,rb-salzburg,FC Red Bull Salzburg,0,25,25,0,needs_real_players
che,Switzerland,fc-sion,FC Sion,0,25,25,0,needs_real_players
cze,Czechia,liberec,FC Slovan Liberec,0,25,25,0,needs_real_players
che,Switzerland,st-gallen,FC St. Gallen,0,25,25,0,needs_real_players
ger,Germany,st-pauli,FC St. Pauli,25,25,4,0,needs_real_players
ned,Netherlands,fc-twente,FC Twente,25,25,3,0,needs_real_players
ned,Netherlands,fc-utrecht,FC Utrecht,25,25,4,0,needs_real_players
cze,Czechia,viktoria-plzen,FC Viktoria Plzeň,0,25,25,0,needs_real_players
rou,Romania,fc-voluntari,FC Voluntari,0,25,25,0,needs_real_players
che,Switzerland,fc-winterthur,FC Winterthur,0,25,25,0,needs_real_players
che,Switzerland,fc-zurich,FC Zürich,0,25,25,0,needs_real_players
rou,Romania,fcsb,FCSB,0,25,25,0,needs_real_players
bel,Belgium,dender,FCV Dender EH,0,25,25,0,needs_real_players
hun,Hungary,fehervar,Fehérvár FC,0,25,25,0,needs_real_players
tur,Turkey,fenerbahce,Fenerbahçe SK,0,25,25,0,needs_real_players
hun,Hungary,ferencvaros,Ferencvárosi TC,0,25,25,0,needs_real_players
ned,Netherlands,feyenoord,Feyenoord Rotterdam,25,25,3,0,needs_real_players
isl,Iceland,fh-hafnarfjordur,FH Hafnarfjörður,0,25,25,0,needs_real_players
aut,Austria,austria-wien,FK Austria Wien,0,25,25,0,needs_real_players
svk,Slovakia,banska-bystrica,FK Dukla Banská Bystrica,0,25,25,0,needs_real_players
cze,Czechia,dukla-prague,FK Dukla Prague,0,25,25,0,needs_real_players
nor,Norway,haugesund,FK Haugesund,0,25,25,0,needs_real_players
cze,Czechia,jablonec,FK Jablonec,0,25,25,0,needs_real_players
srb,Serbia,fk-jedinstvo-ub,FK Jedinstvo Ub,0,25,25,0,needs_real_players
srb,Serbia,kolubara,FK Kolubara,0,25,25,0,needs_real_players
srb,Serbia,mladost-lucani,FK Mladost Lučani,0,25,25,0,needs_real_players
cze,Czechia,mlada-boleslav,FK Mladá Boleslav,0,25,25,0,needs_real_players
srb,Serbia,novi-pazar,FK Novi Pazar,0,25,25,0,needs_real_players
cze,Czechia,pardubice,FK Pardubice,0,25,25,0,needs_real_players
svk,Slovakia,pohronie,FK Pohronie,0,25,25,0,needs_real_players
cze,Czechia,teplice,FK Teplice,0,25,25,0,needs_real_players
srb,Serbia,vojvodina,FK Vojvodina,0,25,25,0,needs_real_players
srb,Serbia,vojvodina-novi-sad,FK Vojvodina Novi Sad,0,25,25,0,needs_real_players
srb,Serbia,fk-zeleznik,FK Železnik,0,25,25,0,needs_real_players
ned,Netherlands,fortuna-sittard,Fortuna Sittard,25,25,3,0,needs_real_players
isl,Iceland,fram-reykjavik,Fram Reykjavík,0,25,25,0,needs_real_players
nor,Norway,fredrikstad,Fredrikstad FK,0,25,25,0,needs_real_players
eng,England,fulham,Fulham,25,25,0,0,ready
isl,Iceland,fylkir,Fylkir,0,25,25,0,needs_real_players
swe,Sweden,gais,GAIS,0,25,25,0,needs_real_players
tur,Turkey,galatasaray,Galatasaray SK,0,25,25,0,needs_real_players
irl,Ireland,galway-united,Galway United,25,25,0,0,ready
tur,Turkey,gaziantep-fk,Gaziantep FK,0,25,25,0,needs_real_players
ita,Italy,genoa,Genoa CFC,25,25,4,0,needs_real_players
esp,Spain,getafe,Getafe CF,25,25,0,0,ready
por,Portugal,gil-vicente,Gil Vicente FC,0,25,25,0,needs_real_players
esp,Spain,girona,Girona FC,25,25,0,0,ready
rou,Romania,gloria-buzau,Gloria Buzău,0,25,25,0,needs_real_players
cro,Croatia,dinamo-zagreb,GNK Dinamo Zagreb,25,25,0,0,ready
ned,Netherlands,go-ahead-eagles,Go Ahead Eagles,25,25,3,0,needs_real_players
che,Switzerland,grasshoppers,Grasshopper Club Zürich,0,25,25,0,needs_real_players
aut,Austria,grazer-ak,Grazer AK,0,25,25,0,needs_real_players
pol,Poland,gornik-zabrze,Górnik Zabrze,0,25,25,0,needs_real_players
tur,Turkey,goztepe,Göztepe SK,0,25,25,0,needs_real_players
swe,Sweden,halmstad,Halmstads BK,0,25,25,0,needs_real_players
nor,Norway,hamkam,HamKam,0,25,25,0,needs_real_players
swe,Sweden,hammarby,Hammarby IF,0,25,25,0,needs_real_players
isr,Israel,hapoel-beer-sheva,Hapoel Beer Sheva,0,25,25,0,needs_real_players
isr,Israel,hapoel-hadera,Hapoel Hadera,0,25,25,0,needs_real_players
isr,Israel,hapoel-haifa,Hapoel Haifa,0,25,25,0,needs_real_players
isr,Israel,hapoel-jerusalem,Hapoel Jerusalem,0,25,25,0,needs_real_players
isr,Israel,hapoel-nof-hagalil,Hapoel Nof HaGalil,0,25,25,0,needs_real_players
isr,Israel,hapoel-tel-aviv,Hapoel Tel Aviv,0,25,25,0,needs_real_players
tur,Turkey,hatayspor,Hatayspor,0,25,25,0,needs_real_players
sco,Scotland,hearts,Heart of Midlothian,0,25,25,0,needs_real_players
bgr,Bulgaria,hebar-pazardzhik,Hebar Pazardzhik,0,25,25,0,needs_real_players
ita,Italy,hellas-verona,Hellas Verona,25,25,2,0,needs_real_players
ned,Netherlands,heracles-almelo,Heracles Almelo,25,25,3,0,needs_real_players
sco,Scotland,hibernian,Hibernian FC,0,25,25,0,needs_real_players
fin,Finland,hifk,HIFK Helsinki,0,25,25,0,needs_real_players
fin,Finland,hjk-helsinki,HJK Helsinki,0,25,25,0,needs_real_players
cro,Croatia,hnk-gorica,HNK Gorica,25,25,0,0,ready
cro,Croatia,hajduk-split,HNK Hajduk Split,25,25,0,0,ready
cro,Croatia,hnk-rijeka,HNK Rijeka,25,25,0,0,ready
cro,Croatia,hnk-sibenik,HNK Šibenik,25,25,0,0,ready
ger,Germany,holstein-kiel,Holstein Kiel,25,25,1,0,needs_real_players
den,Denmark,hvidovre,Hvidovre IF,0,25,25,0,needs_real_players
swe,Sweden,brommapojkarna,IF Brommapojkarna,0,25,25,0,needs_real_players
swe,Sweden,elfsborg,IF Elfsborg,0,25,25,0,needs_real_players
swe,Sweden,ifk-goteborg,IFK Göteborg,0,25,25,0,needs_real_players
fin,Finland,mariehamn,IFK Mariehamn,0,25,25,0,needs_real_players
swe,Sweden,ifk-norrkoping,IFK Norrköping,0,25,25,0,needs_real_players
swe,Sweden,varnamo,IFK Värnamo,0,25,25,0,needs_real_players
swe,Sweden,sirius,IK Sirius,0,25,25,0,needs_real_players
fin,Finland,ilves,Ilves Tampere,0,25,25,0,needs_real_players
srb,Serbia,imt-novi-beograd,IMT Novi Beograd,0,25,25,0,needs_real_players
ita,Italy,inter-milan,Inter Milan,25,25,5,0,needs_real_players
eng,England,ipswich-town,Ipswich Town,25,25,0,0,ready
isr,Israel,ironi-kiryat-shmona,Ironi Kiryat Shmona,0,25,25,0,needs_real_players
tur,Turkey,istanbul-basaksehir,İstanbul Başakşehir FK,0,25,25,0,needs_real_players
pol,Poland,jagiellonia-bialystok,Jagiellonia Białystok,0,25,25,0,needs_real_players
ita,Italy,juventus,Juventus,25,25,4,0,needs_real_players
isl,Iceland,ka-akureyri,KA Akureyri,0,25,25,0,needs_real_players
bel,Belgium,gent,KAA Gent,0,25,25,0,needs_real_players
gre,Greece,kallithea,Kallithea FC,0,25,25,0,needs_real_players
swe,Sweden,kalmar-ff,Kalmar FF,0,25,25,0,needs_real_players
cyp,Cyprus,karmiotissa,Karmiotissa Polemidion,0,25,25,0,needs_real_players
tur,Turkey,kasimpasa,Kasımpaşa SK,0,25,25,0,needs_real_players
tur,Turkey,kayserispor,Kayserispor,0,25,25,0,needs_real_players
hun,Hungary,kecskemet,Kecskeméti TE,0,25,25,0,needs_real_players
isl,Iceland,keflavik,Keflavík ÍF,0,25,25,0,needs_real_players
svk,Slovakia,komarno,KFC Komárno,0,25,25,0,needs_real_players
sco,Scotland,kilmarnock,Kilmarnock FC,0,25,25,0,needs_real_players
hun,Hungary,kisvarda,Kisvárda FC,0,25,25,0,needs_real_players
ukr,Ukraine,kolos-kovalivka,Kolos Kovalivka,0,25,25,0,needs_real_players
tur,Turkey,konyaspor,Konyaspor,0,25,25,0,needs_real_players
pol,Poland,korona-kielce,Korona Kielce,0,25,25,0,needs_real_players
isl,Iceland,kr-reykjavik,KR Reykjavík,0,25,25,0,needs_real_players
bel,Belgium,genk,KRC Genk,0,25,25,0,needs_real_players
nor,Norway,kristiansund,Kristiansund BK,0,25,25,0,needs_real_players
ukr,Ukraine,kryvbas,Kryvbas Kryvyi Rih,0,25,25,0,needs_real_players
fin,Finland,kups,KuPS Kuopio,0,25,25,0,needs_real_players
bel,Belgium,kortrijk,KV Kortrijk,0,25,25,0,needs_real_players
bel,Belgium,mechelen,KV Mechelen,0,25,25,0,needs_real_players
bel,Belgium,westerlo,KVC Westerlo,0,25,25,0,needs_real_players
aut,Austria,lask,LASK,0,25,25,0,needs_real_players
fra,France,le-havre,Le Havre AC,25,25,2,0,needs_real_players
pol,Poland,lech-poznan,Lech Poznań,0,25,25,0,needs_real_players
pol,Poland,lechia-gdansk,Lechia Gdańsk,0,25,25,0,needs_real_players
pol,Poland,legia-warsaw,Legia Warsaw,0,25,25,0,needs_real_players
eng,England,leicester-city,Leicester City,25,25,0,0,ready
gre,Greece,levadiakos,Levadiakos FC,0,25,25,0,needs_real_players
bgr,Bulgaria,levski-sofia,Levski Sofia,0,25,25,0,needs_real_players
fra,France,lille,Lille OSC,25,25,3,0,needs_real_players
nor,Norway,lillestrom,Lillestrøm SK,0,25,25,0,needs_real_players
eng,England,liverpool,Liverpool,25,25,0,0,ready
ukr,Ukraine,lnz-cherkasy,LNZ Cherkasy,0,25,25,0,needs_real_players
bgr,Bulgaria,lokomotiv-plovdiv,Lokomotiv Plovdiv,0,25,25,0,needs_real_players
bgr,Bulgaria,lokomotiv-sofia,Lokomotiv Sofia,0,25,25,0,needs_real_players
bgr,Bulgaria,ludogorets-razgrad,Ludogorets Razgrad,0,25,25,0,needs_real_players
den,Denmark,lyngby,Lyngby BK,0,25,25,0,needs_real_players
isr,Israel,maccabi-bnei-raina,Maccabi Bnei Raina,0,25,25,0,needs_real_players
isr,Israel,maccabi-haifa,Maccabi Haifa,0,25,25,0,needs_real_players
isr,Israel,maccabi-netanya,Maccabi Netanya,0,25,25,0,needs_real_players
isr,Israel,maccabi-tel-aviv,Maccabi Tel Aviv,0,25,25,0,needs_real_players
swe,Sweden,malmo-ff,Malmö FF,0,25,25,0,needs_real_players
eng,England,manchester-city,Manchester City,25,25,0,0,ready
eng,England,manchester-united,Manchester United,25,25,0,0,ready
ukr,Ukraine,metalist-1925,Metalist 1925 Kharkiv,0,25,25,0,needs_real_players
hun,Hungary,mezokovesd,Mezőkövesdi SE,0,25,25,0,needs_real_players
cze,Czechia,karvina,MFK Karviná,0,25,25,0,needs_real_players
svk,Slovakia,ruzomberok,MFK Ružomberok,0,25,25,0,needs_real_players
svk,Slovakia,skalica,MFK Skalica,0,25,25,0,needs_real_players
svk,Slovakia,michalovce,MFK Zemplín Michalovce,0,25,25,0,needs_real_players
swe,Sweden,mjallby,Mjällby AIF,0,25,25,0,needs_real_players
pol,Poland,cracovia,MKS Cracovia,0,25,25,0,needs_real_players
nor,Norway,molde,Molde FK,0,25,25,0,needs_real_players
fra,France,montpellier,Montpellier HSC,25,25,2,0,needs_real_players
por,Portugal,moreirense,Moreirense FC,0,25,25,0,needs_real_players
sco,Scotland,motherwell,Motherwell FC,0,25,25,0,needs_real_players
pol,Poland,motor-lublin,Motor Lublin,0,25,25,0,needs_real_players
ukr,Ukraine,mynai,Mynai,0,25,25,0,needs_real_players
svk,Slovakia,zilina,MŠK Žilina,0,25,25,0,needs_real_players
ned,Netherlands,nac-breda,NAC Breda,25,25,3,0,needs_real_players
srb,Serbia,napredak-krusevac,Napredak Kruševac,0,25,25,0,needs_real_players
cyp,Cyprus,nea-salamis,Nea Salamis Famagusta,0,25,25,0,needs_real_players
ned,Netherlands,nec-nijmegen,NEC Nijmegen,25,25,3,0,needs_real_players
eng,England,newcastle-united,Newcastle United,25,25,0,0,ready
cro,Croatia,istra-1961,NK Istra 1961,25,25,0,0,ready
cro,Croatia,lokomotiva-zagreb,NK Lokomotiva Zagreb,25,25,0,0,ready
cro,Croatia,nk-osijek,NK Osijek,25,25,0,0,ready
cro,Croatia,slaven-belupo,NK Slaven Belupo,25,25,0,0,ready
cro,Croatia,nk-varazdin,NK Varaždin,25,25,0,0,ready
eng,England,nottingham-forest,Nottingham Forest,25,25,0,0,ready
hun,Hungary,nyiregyhaza,Nyíregyháza Spartacus FC,0,25,25,0,needs_real_players
ukr,Ukraine,obolon-kyiv,Obolon Kyiv,0,25,25,0,needs_real_players
nor,Norway,odd,Odds BK,0,25,25,0,needs_real_players
gre,Greece,ofi-crete,OFI Crete FC,0,25,25,0,needs_real_players
fra,France,nice,OGC Nice,25,25,3,0,needs_real_players
bel,Belgium,oh-leuven,OH Leuven,0,25,25,0,needs_real_players
gre,Greece,olympiacos,Olympiacos FC,0,25,25,0,needs_real_players
cyp,Cyprus,olympiakos-nicosia,Olympiakos Nicosia,0,25,25,0,needs_real_players
fra,France,marseille,Olympique de Marseille,25,25,4,0,needs_real_players
fra,France,lyon,Olympique Lyonnais,25,25,3,0,needs_real_players
cyp,Cyprus,omonia-nicosia,Omonia Nicosia,0,25,25,0,needs_real_players
rou,Romania,otelul-galati,Oțelul Galați,0,25,25,0,needs_real_players
cyp,Cyprus,pafos-fc,Pafos FC,0,25,25,0,needs_real_players
hun,Hungary,paksi-fc,Paksi FC,0,25,25,0,needs_real_players
gre,Greece,panathinaikos,Panathinaikos FC,0,25,25,0,needs_real_players
gre,Greece,panserraikos,Panserraikos FC,0,25,25,0,needs_real_players
gre,Greece,paok,PAOK FC,0,25,25,0,needs_real_players
fra,France,paris-saint-germain,Paris Saint-Germain,25,25,2,0,needs_real_players
ita,Italy,parma,Parma Calcio,25,25,3,0,needs_real_players
srb,Serbia,partizan-belgrade,Partizan Belgrade,0,25,25,0,needs_real_players
gre,Greece,pas-giannina,PAS Giannina FC,0,25,25,0,needs_real_players
gre,Greece,lamia,PAS Lamia 1964,0,25,25,0,needs_real_players
ned,Netherlands,pec-zwolle,PEC Zwolle,25,25,3,0,needs_real_players
rou,Romania,petrolul-ploiesti,Petrolul Ploiești,0,25,25,0,needs_real_players
pol,Poland,piast-gliwice,Piast Gliwice,0,25,25,0,needs_real_players
bgr,Bulgaria,pirin-blagoevgrad,Pirin Blagoevgrad,0,25,25,0,needs_real_players
pol,Poland,pogon-szczecin,Pogoń Szczecin,0,25,25,0,needs_real_players
ukr,Ukraine,polissya-zhytomyr,Polissya Zhytomyr,0,25,25,0,needs_real_players
rou,Romania,politehnica-iasi,Politehnica Iași,0,25,25,0,needs_real_players
ned,Netherlands,psv-eindhoven,PSV Eindhoven,24,25,6,0,needs_real_players
hun,Hungary,puskas-akademia,Puskás Akadémia FC,0,25,25,0,needs_real_players
pol,Poland,puszcza-niepolomice,Puszcza Niepołomice,0,25,25,0,needs_real_players
srb,Serbia,radnicki-nis,Radnički Niš,0,25,25,0,needs_real_players
pol,Poland,radomiak-radom,Radomiak Radom,0,25,25,0,needs_real_players
pol,Poland,rakow-czestochowa,Raków Częstochowa,0,25,25,0,needs_real_players
den,Denmark,randers-fc,Randers FC,0,25,25,0,needs_real_players
sco,Scotland,rangers,Rangers FC,0,25,25,0,needs_real_players
rou,Romania,rapid-bucuresti,Rapid București,0,25,25,0,needs_real_players
esp,Spain,rayo-vallecano,Rayo Vallecano,25,25,0,0,ready
ger,Germany,rb-leipzig,RB Leipzig,25,25,5,0,needs_real_players
fra,France,lens,RC Lens,25,25,5,0,needs_real_players
fra,France,strasbourg,RC Strasbourg Alsace,25,25,1,0,needs_real_players
esp,Spain,espanyol,RCD Espanyol,25,25,0,0,ready
esp,Spain,mallorca,RCD Mallorca,25,25,0,0,ready
esp,Spain,real-betis,Real Betis,25,25,0,0,ready
esp,Spain,real-madrid,Real Madrid,25,25,0,0,ready
esp,Spain,real-sociedad,Real Sociedad,25,25,0,0,ready
esp,Spain,real-valladolid,Real Valladolid,25,25,0,0,ready
srb,Serbia,red-star-belgrade,Red Star Belgrade,0,25,25,0,needs_real_players
por,Portugal,rio-ave,Rio Ave FC,0,25,25,0,needs_real_players
ned,Netherlands,rkc-waalwijk,RKC Waalwijk,25,25,3,0,needs_real_players
nor,Norway,rosenborg,Rosenborg BK,0,25,25,0,needs_real_players
sco,Scotland,ross-county,Ross County FC,0,25,25,0,needs_real_players
bel,Belgium,antwerp,Royal Antwerp FC,0,25,25,0,needs_real_players
bel,Belgium,union-sg,Royale Union Saint-Gilloise,0,25,25,0,needs_real_players
bel,Belgium,anderlecht,RSC Anderlecht,0,25,25,0,needs_real_players
ukr,Ukraine,rukh-lviv,Rukh Lviv,0,25,25,0,needs_real_players
tur,Turkey,samsunspor,Samsunspor,0,25,25,0,needs_real_players
nor,Norway,sandefjord,Sandefjord Fotball,0,25,25,0,needs_real_players
nor,Norway,sarpsborg,Sarpsborg 08 FF,0,25,25,0,needs_real_players
aut,Austria,austria-lustenau,SC Austria Lustenau,0,25,25,0,needs_real_players
por,Portugal,braga,SC Braga,0,25,25,0,needs_real_players
ukr,Ukraine,dnipro-1,SC Dnipro-1,0,25,25,0,needs_real_players
por,Portugal,farense,SC Farense,0,25,25,0,needs_real_players
ger,Germany,freiburg,SC Freiburg,25,25,4,0,needs_real_players
ned,Netherlands,heerenveen,SC Heerenveen,25,25,3,0,needs_real_players
aut,Austria,altach,SCR Altach,0,25,25,0,needs_real_players
rou,Romania,sepsi-osk,Sepsi OSK,0,25,25,0,needs_real_players
bgr,Bulgaria,septemvri-sofia,Septemvri Sofia,0,25,25,0,needs_real_players
che,Switzerland,servette,Servette FC,0,25,25,0,needs_real_players
