league_id,country,team_id,team_name,missing_slot_index,position,required_real_player_name,age,nationality,preferred_foot,real_world_club,source_season,source_verified,notes,current_template_players,target_squad_size,missing_players_for_team,target_overall,target_potential,target_value_eur,target_weekly_wage_eur,target_contract_years,pace,shooting,passing,defending,physical,mental,professionalism,ambition,temperament,loyalty,leadership,fifa_pace,fifa_shooting,fifa_passing,fifa_dribbling,fifa_defending,fifa_physical,fifa_diving,fifa_handling,fifa_kicking,fifa_reflexes,fifa_speed,fifa_positioning
cze,Czechia,slovacko,1. FC Slovácko,7,CB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,48,56,5200000,16200,3,40,35,38,52,54,48,4,4,4,4,2,40,35,38,36,52,54,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,8,LB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,49,57,5600000,17100,3,54,35,47,49,50,46,5,5,5,5,3,54,35,47,51,49,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,9,LB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,49,57,5600000,17100,3,54,35,47,49,50,46,5,5,5,5,3,54,35,47,51,49,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,10,RB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,49,57,5600000,17100,3,54,35,47,49,50,46,5,5,5,5,3,54,35,47,51,49,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,11,RB,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,49,57,5600000,17100,3,54,35,47,49,50,46,5,5,5,5,3,54,35,47,51,49,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,12,CDM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,49,57,5600000,17100,3,46,37,51,53,54,50,5,5,5,5,3,46,37,51,49,53,54,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,13,CM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,49,46,54,48,50,50,5,5,5,5,3,49,46,54,55,48,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,14,CM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,49,46,54,48,50,50,5,5,5,5,3,49,46,54,55,48,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,15,CM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,49,46,54,48,50,50,5,5,5,5,3,49,46,54,55,48,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,16,CM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,49,46,54,48,50,50,5,5,5,5,3,49,46,54,55,48,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,17,CM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,49,46,54,48,50,50,5,5,5,5,3,49,46,54,55,48,50,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,18,CAM,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,53,52,58,35,42,48,5,5,5,5,3,53,52,58,60,35,42,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,19,LW,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,63,52,50,35,40,44,5,5,5,5,3,63,52,50,61,35,40,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,20,LW,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,63,52,50,35,40,44,5,5,5,5,3,63,52,50,61,35,40,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,21,RW,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,63,52,50,35,40,44,5,5,5,5,3,63,52,50,61,35,40,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,22,RW,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,63,52,50,35,40,44,5,5,5,5,3,63,52,50,61,35,40,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,23,ST,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,58,58,43,35,52,46,5,5,5,5,3,58,58,43,56,35,52,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,24,ST,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,58,58,43,35,52,46,5,5,5,5,3,58,58,43,56,35,52,,,,,,
cze,Czechia,slovacko,1. FC Slovácko,25,ST,TBD,TBD,TBD,TBD,1. FC Slovácko,2025/26,no,,0,25,25,50,58,6000000,18000,3,58,58,43,35,52,46,5,5,5,5,3,58,58,43,56,35,52,,,,,,
ger,Germany,union-berlin,1. FC Union Berlin,1,LB,TBD,TBD,TBD,TBD,1. FC Union Berlin,2025/26,no,,25,25,3,66,74,12400000,32400,3,71,48,64,66,67,63,10,10,10,10,8,71,48,64,68,66,67,,,,,,
ger,Germany,union-berlin,1. FC Union Berlin,2,CM,TBD,TBD,TBD,TBD,1. FC Union Berlin,2025/26,no,,25,25,3,67,75,12800000,33300,3,66,63,71,65,67,67,11,11,11,11,9,66,63,71,72,65,67,,,,,,
ger,Germany,union-berlin,1. FC Union Berlin,3,CM,TBD,TBD,TBD,TBD,1. FC Union Berlin,2025/26,no,,25,25,3,67,75,12800000,33300,3,66,63,71,65,67,67,11,11,11,11,9,66,63,71,72,65,67,,,,,,
ger,Germany,mainz-05,1. FSV Mainz 05,1,RB,TBD,TBD,TBD,TBD,1. FSV Mainz 05,2025/26,no,,25,25,5,66,74,12400000,32400,3,71,48,64,66,67,63,10,10,10,10,8,71,48,64,68,66,67,,,,,,
ger,Germany,mainz-05,1. FSV Mainz 05,2,CM,TBD,TBD,TBD,TBD,1. FSV Mainz 05,2025/26,no,,25,25,5,67,75,12800000,33300,3,66,63,71,65,67,67,11,11,11,11,9,66,63,71,72,65,67,,,,,,
ger,Germany,mainz-05,1. FSV Mainz 05,3,CM,TBD,TBD,TBD,TBD,1. FSV Mainz 05,2025/26,no,,25,25,5,67,75,12800000,33300,3,66,63,71,65,67,67,11,11,11,11,9,66,63,71,72,65,67,,,,,,
ger,Germany,mainz-05,1. FSV Mainz 05,4,CM,TBD,TBD,TBD,TBD,1. FSV Mainz 05,2025/26,no,,25,25,5,67,75,12800000,33300,3,66,63,71,65,67,67,11,11,11,11,9,66,63,71,72,65,67,,,,,,
ger,Germany,mainz-05,1. FSV Mainz 05,5,LW,TBD,TBD,TBD,TBD,1. FSV Mainz 05,2025/26,no,,25,25,5,67,75,12800000,33300,3,80,69,67,42,57,61,11,11,11,11,9,80,69,67,78,42,57,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,1,GK,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,35,35,35,35,40,48,5,5,5,5,3,,,,,,,52,50,48,53,35,51
den,Denmark,aarhus-gf,Aarhus GF,2,GK,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,35,35,35,35,40,48,5,5,5,5,3,,,,,,,52,50,48,53,35,51
den,Denmark,aarhus-gf,Aarhus GF,3,CB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,42,35,40,54,56,50,5,5,5,5,3,42,35,40,38,54,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,4,CB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,42,35,40,54,56,50,5,5,5,5,3,42,35,40,38,54,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,5,CB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,42,35,40,54,56,50,5,5,5,5,3,42,35,40,38,54,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,6,CB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,42,35,40,54,56,50,5,5,5,5,3,42,35,40,38,54,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,7,CB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,50,58,6000000,18000,3,42,35,40,54,56,50,5,5,5,5,3,42,35,40,38,54,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,8,LB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,51,59,6400000,18900,3,56,35,49,51,52,48,5,5,5,5,3,56,35,49,53,51,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,9,LB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,51,59,6400000,18900,3,56,35,49,51,52,48,5,5,5,5,3,56,35,49,53,51,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,10,RB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,51,59,6400000,18900,3,56,35,49,51,52,48,5,5,5,5,3,56,35,49,53,51,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,11,RB,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,51,59,6400000,18900,3,56,35,49,51,52,48,5,5,5,5,3,56,35,49,53,51,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,12,CDM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,51,59,6400000,18900,3,48,39,53,55,56,52,5,5,5,5,3,48,39,53,51,55,56,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,13,CM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,51,48,56,50,52,52,6,6,6,6,4,51,48,56,57,50,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,14,CM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,51,48,56,50,52,52,6,6,6,6,4,51,48,56,57,50,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,15,CM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,51,48,56,50,52,52,6,6,6,6,4,51,48,56,57,50,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,16,CM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,51,48,56,50,52,52,6,6,6,6,4,51,48,56,57,50,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,17,CM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,51,48,56,50,52,52,6,6,6,6,4,51,48,56,57,50,52,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,18,CAM,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,55,54,60,35,44,50,6,6,6,6,4,55,54,60,62,35,44,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,19,LW,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,65,54,52,35,42,46,6,6,6,6,4,65,54,52,63,35,42,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,20,LW,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,65,54,52,35,42,46,6,6,6,6,4,65,54,52,63,35,42,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,21,RW,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,65,54,52,35,42,46,6,6,6,6,4,65,54,52,63,35,42,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,22,RW,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,65,54,52,35,42,46,6,6,6,6,4,65,54,52,63,35,42,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,23,ST,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,60,60,45,35,54,48,6,6,6,6,4,60,60,45,58,35,54,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,24,ST,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,60,60,45,35,54,48,6,6,6,6,4,60,60,45,58,35,54,,,,,,
den,Denmark,aarhus-gf,Aarhus GF,25,ST,TBD,TBD,TBD,TBD,Aarhus GF,2025/26,no,,0,25,25,52,60,6800000,19800,3,60,60,45,35,54,48,6,6,6,6,4,60,60,45,58,35,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,1,GK,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,35,35,37,35,42,50,6,6,6,6,4,,,,,,,54,52,50,55,35,53
sco,Scotland,aberdeen,Aberdeen FC,2,GK,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,35,35,37,35,42,50,6,6,6,6,4,,,,,,,54,52,50,55,35,53
sco,Scotland,aberdeen,Aberdeen FC,3,CB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,44,35,42,56,58,52,6,6,6,6,4,44,35,42,40,56,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,4,CB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,44,35,42,56,58,52,6,6,6,6,4,44,35,42,40,56,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,5,CB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,44,35,42,56,58,52,6,6,6,6,4,44,35,42,40,56,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,6,CB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,44,35,42,56,58,52,6,6,6,6,4,44,35,42,40,56,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,7,CB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,52,60,6800000,19800,3,44,35,42,56,58,52,6,6,6,6,4,44,35,42,40,56,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,8,LB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,53,61,7200000,20700,3,58,35,51,53,54,50,6,6,6,6,4,58,35,51,55,53,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,9,LB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,53,61,7200000,20700,3,58,35,51,53,54,50,6,6,6,6,4,58,35,51,55,53,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,10,RB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,53,61,7200000,20700,3,58,35,51,53,54,50,6,6,6,6,4,58,35,51,55,53,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,11,RB,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,53,61,7200000,20700,3,58,35,51,53,54,50,6,6,6,6,4,58,35,51,55,53,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,12,CDM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,53,61,7200000,20700,3,50,41,55,57,58,54,6,6,6,6,4,50,41,55,53,57,58,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,13,CM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,53,50,58,52,54,54,6,6,6,6,4,53,50,58,59,52,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,14,CM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,53,50,58,52,54,54,6,6,6,6,4,53,50,58,59,52,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,15,CM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,53,50,58,52,54,54,6,6,6,6,4,53,50,58,59,52,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,16,CM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,53,50,58,52,54,54,6,6,6,6,4,53,50,58,59,52,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,17,CM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,53,50,58,52,54,54,6,6,6,6,4,53,50,58,59,52,54,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,18,CAM,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,57,56,62,36,46,52,6,6,6,6,4,57,56,62,64,36,46,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,19,LW,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,67,56,54,35,44,48,6,6,6,6,4,67,56,54,65,35,44,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,20,LW,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,67,56,54,35,44,48,6,6,6,6,4,67,56,54,65,35,44,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,21,RW,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,67,56,54,35,44,48,6,6,6,6,4,67,56,54,65,35,44,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,22,RW,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,67,56,54,35,44,48,6,6,6,6,4,67,56,54,65,35,44,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,23,ST,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,62,62,47,35,56,50,6,6,6,6,4,62,62,47,60,35,56,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,24,ST,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,62,62,47,35,56,50,6,6,6,6,4,62,62,47,60,35,56,,,,,,
sco,Scotland,aberdeen,Aberdeen FC,25,ST,TBD,TBD,TBD,TBD,Aberdeen FC,2025/26,no,,0,25,25,54,62,7600000,21600,3,62,62,47,35,56,50,6,6,6,6,4,62,62,47,60,35,56,,,,,,
ita,Italy,ac-milan,AC Milan,1,CM,TBD,TBD,TBD,TBD,AC Milan,2025/26,no,,25,25,2,81,86,18400000,45900,3,80,77,85,79,81,81,15,15,15,15,13,80,77,85,86,79,81,,,,,,
ita,Italy,ac-milan,AC Milan,2,ST,TBD,TBD,TBD,TBD,AC Milan,2025/26,no,,25,25,2,81,86,18400000,45900,3,89,89,74,51,83,77,15,15,15,15,13,89,89,74,87,51,83,,,,,,
ita,Italy,monza,AC Monza,1,CB,TBD,TBD,TBD,TBD,AC Monza,2025/26,no,,25,25,4,60,68,10000000,27000,3,52,35,50,64,66,60,8,8,8,8,6,52,35,50,48,64,66,,,,,,
ita,Italy,monza,AC Monza,2,LB,TBD,TBD,TBD,TBD,AC Monza,2025/26,no,,25,25,4,61,69,10400000,27900,3,66,43,59,61,62,58,9,9,9,9,7,66,43,59,63,61,62,,,,,,
ita,Italy,monza,AC Monza,3,LW,TBD,TBD,TBD,TBD,AC Monza,2025/26,no,,25,25,4,62,70,10800000,28800,3,75,64,62,37,52,56,9,9,9,9,7,75,64,62,73,37,52,,,,,,
ita,Italy,monza,AC Monza,4,RW,TBD,TBD,TBD,TBD,AC Monza,2025/26,no,,25,25,4,62,70,10800000,28800,3,75,64,62,37,52,56,9,9,9,9,7,75,64,62,73,37,52,,,,,,
fin,Finland,ac-oulu,AC Oulu,1,GK,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,35,35,35,35,35,43,3,3,3,3,1,,,,,,,47,45,43,48,35,46
fin,Finland,ac-oulu,AC Oulu,2,GK,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,35,35,35,35,35,43,3,3,3,3,1,,,,,,,47,45,43,48,35,46
fin,Finland,ac-oulu,AC Oulu,3,CB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,37,35,35,49,51,45,3,3,3,3,1,37,35,35,35,49,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,4,CB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,37,35,35,49,51,45,3,3,3,3,1,37,35,35,35,49,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,5,CB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,37,35,35,49,51,45,3,3,3,3,1,37,35,35,35,49,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,6,CB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,37,35,35,49,51,45,3,3,3,3,1,37,35,35,35,49,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,7,CB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,45,53,4000000,13500,3,37,35,35,49,51,45,3,3,3,3,1,37,35,35,35,49,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,8,LB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,46,54,4400000,14400,3,51,35,44,46,47,43,4,4,4,4,2,51,35,44,48,46,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,9,LB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,46,54,4400000,14400,3,51,35,44,46,47,43,4,4,4,4,2,51,35,44,48,46,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,10,RB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,46,54,4400000,14400,3,51,35,44,46,47,43,4,4,4,4,2,51,35,44,48,46,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,11,RB,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,46,54,4400000,14400,3,51,35,44,46,47,43,4,4,4,4,2,51,35,44,48,46,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,12,CDM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,46,54,4400000,14400,3,43,35,48,50,51,47,4,4,4,4,2,43,35,48,46,50,51,,,,,,
fin,Finland,ac-oulu,AC Oulu,13,CM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,46,43,51,45,47,47,4,4,4,4,2,46,43,51,52,45,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,14,CM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,46,43,51,45,47,47,4,4,4,4,2,46,43,51,52,45,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,15,CM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,46,43,51,45,47,47,4,4,4,4,2,46,43,51,52,45,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,16,CM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,46,43,51,45,47,47,4,4,4,4,2,46,43,51,52,45,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,17,CM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,46,43,51,45,47,47,4,4,4,4,2,46,43,51,52,45,47,,,,,,
fin,Finland,ac-oulu,AC Oulu,18,CAM,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,50,49,55,35,39,45,4,4,4,4,2,50,49,55,57,35,39,,,,,,
fin,Finland,ac-oulu,AC Oulu,19,LW,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,60,49,47,35,37,41,4,4,4,4,2,60,49,47,58,35,37,,,,,,
fin,Finland,ac-oulu,AC Oulu,20,LW,TBD,TBD,TBD,TBD,AC Oulu,2025/26,no,,0,25,25,47,55,4800000,15300,3,60,49,47,35,37,41,4,4,4,4,2,60,49,47,58,35,37,,,,,,
